job_title,company_name,company_location,total_salary,City,State,link
Full Stack Developer,Cyberx Infosystem Pvt. Ltd.,"Noida, Uttar Pradesh",390000.0,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=d94b225102f5cee7&bb=0ygHoHe0asz0dm-SzmP4OfpOvBUvWhYfeU1XGmnFtarg3LjqHK7X4p-jOzs3jxNrx-bwJnAtq2lLNvu2lkdops0zsSsOF0QxkHIJKllDDD0%3D&xkcb=SoAH67M3G1HVeUQsXJ0CbzkdCdPP&fccid=f018febe1cb1f669&cmp=Cyberx-Infosystem-Pvt.-Ltd.&ti=Full+Stack+Developer&vjs=3
Software Engineer,S&P Global,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=fc393e84ac4c44fd&bb=0ygHoHe0asz0dm-SzmP4OVz4d9gLfqid7j10SmthUl623PkBwOWCx8VN-EVc7tOEzRZ9soIl7Sxnff8YeMWiGDMdbr0Wy_mM1dYea-XtwUM%3D&xkcb=SoCa67M3G1HVeUQsXJ0BbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3
Backend Developer (Python),Acompworld,"Noida, Uttar Pradesh",Not Applicable,Noida,Uttar Pradesh,https://in.indeed.com/rc/clk?jk=b75df8e6aa654fbc&bb=0ygHoHe0asz0dm-SzmP4OU19L0ZnRK5ge0BADyX7xo2GP37P9MMxCITAdOxfiXkz9g7_aH_e9SdMM2L45_UFmEVIAkQJ8z_d3e3_XtmlGfY%3D&xkcb=SoAu67M3G1HVeUQsXJ0AbzkdCdPP&fccid=17c8f72280c9faca&vjs=3
Sr Developer-IN,IND-Sequential Technology International,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=d5d07bf99ad41222&bb=0ygHoHe0asz0dm-SzmP4Oeckgw5-2nl93n0a2s1U3HnGFrC6C-GPLzpj5vdGYkXidHOPSkKtfbyT5wzruwSitgQ2-iGKOkP3SDKUspVyDVI%3D&xkcb=SoCg67M3G1HVeUQsXJ0HbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Senior Python Engineer - India,Targray,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=21261ed6c2ef7021&bb=0ygHoHe0asz0dm-SzmP4ORPElIULKkR3PvxfLYxDSPhXYAyRxKoXDj3PnUCNzjPILS8Oc-__AafpyPcv2GzlT1c1q8bnGzqCmKqUZPfjH3M%3D&xkcb=SoAU67M3G1HVeUQsXJ0GbzkdCdPP&fccid=6965745a75bb623d&vjs=3
PYTHON DEVELOPER,Export Genius,"New Delhi, Delhi",Not Applicable,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=948bda63387b833e&bb=0ygHoHe0asz0dm-SzmP4OUgvgeQu0PrnJBRSvMM4S_9ccHKjgjuTQKDTWaPQMiyPzzm49itRkY6YIIAB-iij2CebUafrWv5HnwjoH5TW1SM%3D&xkcb=SoCJ67M3G1HVeUQsXJ0FbzkdCdPP&fccid=17d20c9fac272bfa&vjs=3
SQL Developer,Gartner,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=e287c090c766a35c&bb=Q6QnohoNRAiB_8T1AMyEAgVFFa3AWNEK9Qeii8BWTuVOnTlQtbYfy-Fz0qzHKh5nRSLTKjznGfKwHMGKLH68HmTujj-lkEKBwJmzKXuTbDQ%3D&xkcb=SoDV67M3G1HSgEQHhB0LbzkdCdPP&fccid=be293f1def77a963&vjs=3
Front End/UI Developer,Matrix Intertech Pvt.Ltd.,"New Delhi, Delhi",510000.0,New Delhi,Delhi,https://in.indeed.com/rc/clk?jk=7e2b5be657eff7b7&bb=Q6QnohoNRAiB_8T1AMyEAgbQmGJGxelANxj1CqcSHKVBCk4Fnswfk4DT-7OxkqaLlcoyo3wdigQOPnHYIpD35H_8EccEITzhZAq_LCdaMoU%3D&xkcb=SoBh67M3G1HSgEQHhB0KbzkdCdPP&fccid=14944ea4142351af&cmp=Matrix-Intertech-Pvt.Ltd.&ti=Front+End+Developer&vjs=3
Data Engineer,Wood Mackenzie,"Gurgaon, Haryana",Not Applicable,Gurgaon,Haryana,https://in.indeed.com/rc/clk?jk=68fd6c9d9d937c86&bb=Q6QnohoNRAiB_8T1AMyEArzQbCi0qzrI2JIAQNMkrr-8yDqhmG_Tlu4WGLKKjuWvuGSl2ggrtNQgHlkZwwlBGq5I0U05GDllyzHqs_VxdMs%3D&xkcb=SoD867M3G1HSgEQHhB0JbzkdCdPP&fccid=a7c45263be5bd036&vjs=3
ETL Developer,Connect Infosoft Technologies Pvt.Ltd,"Faridabad, Haryana",400000.0,Faridabad,Haryana,https://in.indeed.com/rc/clk?jk=cd3b032dec893334&bb=Q6QnohoNRAiB_8T1AMyEArzQbCi0qzrIlfaEoRkYd4d-waiCB722oQP14h9b8OE9Tt1M5VOBx0msgrokqbY8lNVzhn1HgCWppm3d5nm2qd8%3D&xkcb=SoBI67M3G1HSgEQHhB0IbzkdCdPP&fccid=3bec48cb03bd346c&cmp=Connect-Infosoft-Technologies-Pvt.Ltd&ti=ETL+Developer&vjs=3
